"","Journal","Rank","Source","IF"
"5462","Discrete Optimization","C","ERA",0.824
"5463","Discussion Paper in Economics of the University of Nottingham, School of Economics","C","ERA",NA
"5464","Discussiones Mathematicae Probability and Statistics","C","ERA",NA
"5465","Discussiones Mathematicae. Graph Theory","C","ERA",NA
"5466","Discussiones Mathematicae: Differential Inclusions, Control and Optimization","C","ERA",NA
"5467","Disease Management and Health Outcomes","C","ERA",NA
"5468","Disease Markers","C","ERA",2.738
"5469","Disease-A-Month","B","ERA",NA
"5470","Diseases of Aquatic Organisms","B","ERA",1.368
"5471","Diseases of the Colon and Rectum","B","ERA",3.991
"5472","Diseases of the Esophagus","C","ERA",2.386
"5473","DISP","A","ERA",0.981
"5474","Displays","B","ERA",1.738
"5475","Disputatio: revista semestral de filosofia analítica","B","ERA",NA
"5476","Dissertationes Mathematicae","A","ERA",1.941
"5477","Distance Education","B","ERA",1.702
"5478","Distinktion","B","ERA",NA
"5479","Distributed and Parallel Databases","A","ERA",0.757
"5480","Distributed Computing","A","ERA",0.894
"5481","Diversity and Distributions","A","ERA",3.993
"5482","Division of Labour and Transaction Costs","C","ERA",NA
"5483","Divulgaciones Matematicas","C","ERA",NA
"5484","Dix-Huitieme Siecle","A","ERA",NA
"5485","Dix-neuf","B","ERA",NA
"5486","D-Lib Magazine","B","ERA",NA
"5487","DNA and Cell Biology","B","ERA",3.191
"5488","DNA Repair","A","ERA",3.339
"5489","DNA Research","B","ERA",4.009
"5490","DOCOMOMO Journal","B","ERA",NA
"5491","Doctor Communis: acta et commentationes Pontificiae Academiae Romanae S. Thomae Aquinatis","C","ERA",NA
"5492","Doctor Os: mensile di aggiornamento scientifico culturale in odontostomatologia","C","ERA",NA
"5493","Doctrine and Life","C","ERA",NA
"5494","Documenta Mathematica","A","ERA",0.661
"5495","Documenta Ophthalmologica","B","ERA",1.294
"5496","Documentary Box (English ed.)","C","ERA",NA
"5497","Documentatieblad Nadere Reformatie","C","ERA",NA
"5498","Documentatieblad voor de Nederlandse Kerkgeschiedenis na 1800","C","ERA",NA
"5499","Documentos y Aportes en Administracion Publica y Gestion Estatal","C","ERA",NA
"5500","Documents","C","ERA",NA
"5501","Dodo","C","ERA",NA
"5502","Dohnanyi evkonyv","C","ERA",NA
"5503","DoisPontos","C","ERA",NA
"5504","Dokkyo Journal of Medical Sciences","C","ERA",NA
"5505","Doklady Chemistry","C","ERA",0.497
"5506","Doklady Earth Sciences","C","ERA",0.594
"5507","Doklady Mathematics","B","ERA",0.548
"5508","Doklady Physical Chemistry","C","ERA",0.613
"5509","Doklady Physics","C","ERA",0.65
"5510","Domestic Animal Endocrinology","A","ERA",1.778
"5511","Dongwu Fenlei Xuebao","C","ERA",NA
"5512","Dongwuxue Yanjiu","C","ERA",NA
"5513","Dongwuxue Zazhi","C","ERA",NA
"5514","Doping Journal","C","ERA",NA
"5515","Double Dialogues","B","ERA",NA
"5516","Down Syndrome Research and Practice","B","ERA",NA
"5517","Downside Review: a quarterly of Catholic thought","B","ERA",NA
"5518","Dragon Lode","C","ERA",NA
"5519","Drake Journal of Agricultural Law","C","ERA",NA
"5520","Drake Law Review","C","ERA",NA
"5521","Drammaturgia","C","ERA",NA
"5522","Dreaming","C","ERA",0.776
"5523","Drewno","C","ERA",0.578
"5524","Droit et Societe","C","ERA",NA
"5525","Drug and Alcohol Dependence","A","ERA",3.951
"5526","Drug and Alcohol Dependence","A","ERA",3.951
"5527","Drug and Alcohol Review","C","ERA",2.472
"5528","Drug and Chemical Toxicology: an international journal for rapid communication","B","ERA",NA
"5529","Drug Delivery","C","ERA",4.902
"5530","Drug Delivery Systems and Sciences","C","ERA",NA
"5531","Drug Design Reviews Online","C","ERA",NA
"5532","Drug Development and Industrial Pharmacy","B","ERA",2.365
"5533","Drug Development Research","B","ERA",1.902
"5534","Drug Discoveries and Therapeutics","B","ERA",NA
"5535","Drug Discovery Today: Therapeutic Strategies","C","ERA",NA
"5536","Drug Information Journal","C","ERA",NA
"5537","Drug Metabolism and Disposition","A","ERA",3.231
"5538","Drug Metabolism Letters","C","ERA",NA
"5539","Drug Metabolism Reviews","A","ERA",3.956
"5540","Drug News and Perspectives","B","ERA",NA
"5541","Drug Research","C","ERA",NA
"5542","Drug Resistance Updates","B","ERA",11
"5543","Drug Safety","B","ERA",3.442
"5544","Drug Target Insights","C","ERA",NA
"5545","Drugs","A","ERA",6.189
"5546","Drugs and Aging","B","ERA",2.824
"5547","Drugs and Therapy Perspectives","C","ERA",NA
"5548","Drugs of the Future","B","ERA",0.073
"5549","Drugs of Today","B","ERA",1.373
"5550","Drugs under Experimental and Clinical Research","C","ERA",NA
"5551","Drugs-Education Prevention and Policy","C","ERA",1.17
"5552","Drustvena Istrazivanja: casopis za opca drustvan pitanja","C","ERA",NA
"5553","Drying Technology: an international journal","B","ERA",NA
"5554","DTW (Deutsche Tierarztliche Wochenschrift)","B","ERA",NA
"5555","Dublin University Law Journal","C","ERA",NA
"5556","Dubrovnik Annals","C","ERA",NA
"5557","Duke Environmental Law and Policy Forum","B","ERA",NA
"5558","Duke Journal of Comparative and International Law","B","ERA",NA
"5559","Duke Journal of Constitutional Law and Public Policy","B","ERA",NA
"5560","Duke Journal of Gender Law and Policy","B","ERA",NA
"5561","Duke Law Journal","A+","ERA",3.076
"5562","Duke Mathematical Journal","A+","ERA",2.194
"5563","Dumbarton Oaks Papers","A+","ERA",NA
"5564","Duquesne Business Law Journal","C","ERA",NA
"5565","Duquesne Law Review","B","ERA",NA
"5566","Durban Museum Novitates","C","ERA",NA
"5567","Dutch Crossing: a journal of low countries studies","C","ERA",NA
"5568","Dutch Journal for Music Theory","C","ERA",NA
"5569","Dve Domovini","C","ERA",NA
"5570","Dyes and Pigments","A","ERA",4.613
"5571","Dyna","C","ERA",0.781
"5572","Dynamic Systems and Applications","B","ERA",0.522
"5573","Dynamics and Control","C","ERA",NA
"5574","Dynamics of Atmospheres and Oceans","B","ERA",1.592
"5575","Dynamics of Continuous Discrete and Impulsive Systems Series A Mathematical Analysis","B","ERA",NA
"5576","Dynamics of Continuous Discrete and Impulsive Systems Series B Applications and Algorithms","B","ERA",NA
"5577","Dynamics of Partial Differential Equations","B","ERA",1.152
"5578","Dynamis: acta hispanica ad medicinae scientiarumque historiam illustrandam","C","ERA",NA
"5579","Dynamische Psychiatrie: internationale Zeitschrift fuer Psychiatrie und Psychoanalyse","C","ERA",NA
"5580","Dyslexia","B","ERA",1.458
"5581","Dysphagia","C","ERA",2.591
"5582","Dzieje Najnowsze: kwartalnik poswiecony historii XX wieku","C","ERA",NA
"5583","EA Journal","C","ERA",NA
"5584","Ear and Hearing","B","ERA",3.129
"5585","EAR Se L eProceedings","C","ERA",NA
"5586","Ear, Nose and Throat Journal","C","ERA",NA
"5587","Early American Literature","B","ERA",NA
"5588","Early American Studies: An Interdisciplinary Journal","A","ERA",NA
"5589","Early Child Development and Care","B","ERA",0.968
"5590","Early Childhood Connections","C","ERA",NA
"5591","Early Childhood Education Journal","C","ERA",1.135
"5592","Early Childhood Research and Practice: an internet journal on the development, care, and
education of young children","B","ERA",NA
"5593","Early Childhood Research Quarterly","A","ERA",2.316
"5594","Early Childhood Services","C","ERA",NA
"5595","Early China","A","ERA",NA
"5596","Early Education and Development","C","ERA",1.504
"5597","Early Human Development","B","ERA",1.969
"5598","Early Intervention in Psychiatry: the development, onset and treatment of emerging mental
disorders","C","ERA",NA
"5599","Early Keyboard Journal","C","ERA",NA
"5600","Early Medieval China","B","ERA",NA
"5601","Early Medieval Europe","A","ERA",NA
"5602","Early Modern Japan: an interdisciplinary journal","B","ERA",NA
"5603","Early Modern Literary Studies: a journal of sixteenth- and seventeenth-century English literature","C","ERA",NA
"5604","Early Music","A+","ERA",NA
"5605","Early Music History: studies in medieval and early modern music","A","ERA",NA
"5606","Early Popular Visual Culture","B","ERA",NA
"5607","Early Science and Medicine: a journal for the study of science, technology and medicine in the
pre-modern period","B","ERA",NA
"5608","Early Theatre: a journal associated with the Records of Early English Drama","B","ERA",NA
"5609","Early Years: an international journal of research and development","B","ERA",NA
"5610","Earth and Planetary Science Letters","A+","ERA",4.823
"5611","Earth Interactions","A","ERA",2.167
"5612","Earth Moon and Planets","C","ERA",0.609
"5613","Earth Sciences History","C","ERA",0.216
"5614","Earth Sciences History","C","ERA",0.216
"5615","Earth Sciences Research Journal","C","ERA",0.541
"5616","Earth Surface Processes and Landforms","A","ERA",3.694
"5617","Earth, Planets and Space","B","ERA",NA
"5618","Earthquake Engineering and Engineering Vibration","C","ERA",1.642
"5619","Earthquake Engineering and Structural Dynamics","A+","ERA",3.414
"5620","Earthquake Spectra","A","ERA",1.93
"5621","Earth-Science Reviews","A+","ERA",9.724
"5622","East Africa Journal of Sciences","C","ERA",NA
"5623","East African Medical Journal","C","ERA",NA
"5624","East and West","A","ERA",NA
"5625","East Asia: an international quarterly","C","ERA",NA
"5626","East Asian History","A","ERA",NA
"5627","East Asian Library Journal","C","ERA",NA
"5628","East Asian Pastoral Review: a quarterly with focus on Asia for all church ministers and theology in
context, interested laity and theological students","C","ERA",NA
"5629","East Asian Review","C","ERA",NA
"5630","East Asian Science, Technology and Society: an International Journal","B","ERA",NA
"5631","East Asian Science, Technology, and Medicine","B","ERA",NA
"5632","East European Politics and Societies","C","ERA",0.543
"5633","East Journal on Approximations","B","ERA",NA
"5634","East West Review of Labor Law and Social Policy","C","ERA",NA
"5635","Eastern Anthropologist","B","ERA",NA
"5636","Eastern Buddhist","B","ERA",NA
"5637","Eastern Economic Journal","B","ERA",NA
"5638","Eastern European Economics: a journal of translations","B","ERA",NA
"5639","East-West Journal of Mathematics","C","ERA",NA
"5640","Eating and Weight Disorders: studies on anorexia, bulimia and obesity","C","ERA",NA
"5641","Eating Behaviors","C","ERA",2.156
"5642","Eating Disorders","C","ERA",2.013
"5643","Eating Disorders","C","ERA",2.013
"5644","Ebisu","C","ERA",NA
"5645","E-Business Review","C","ERA",NA
"5646","EC Tax Review","C","ERA",NA
"5647","Ecclesia Orans","B","ERA",NA
"5648","Ecclesiastical Law Journal","C","ERA",NA
"5649","Ecclesiology: the journal for ministry, mission and unity","B","ERA",NA
"5650","Echo (Los Angeles): a music-centered journal","C","ERA",NA
"5651","Echocardiography: a journal of cardiovascular ultrasound and allied techniques","C","ERA",NA
"5652","ECLR: European Competition Law Review","A","ERA",NA
"5653","Ecography","A","ERA",6.455
"5654","Ecohealth","B","ERA",2.153
"5655","Ecole Francaise de Rome Melanges: Antiquite","A","ERA",NA
"5656","Ecolibrium","B","ERA",NA
"5657","Ecological Applications","A","ERA",4.248
"5658","Ecological Complexity","B","ERA",1.571
"5659","Ecological Economics","A","ERA",4.482
"5660","Ecological Economics","A","ERA",4.482
"5661","Ecological Engineering","B","ERA",3.512
"5662","Ecological Entomology","B","ERA",1.848
"5663","Ecological Indicators","C","ERA",4.229
"5664","Ecological Management and Restoration","C","ERA",1.086
"5665","Ecological Modelling","A","ERA",2.497
"5666","Ecological Monographs","A+","ERA",7.722
"5667","Ecological Psychology","B","ERA",2.063
"5668","Ecological Research","C","ERA",1.58
"5669","Ecology","A+","ERA",4.7
"5670","Ecology and Society","B","ERA",3.89
"5671","Ecology and Society","B","ERA",3.89
"5672","Ecology Law Quarterly","A","ERA",0.622
"5673","Ecology Letters","A+","ERA",8.665
"5674","Ecology of Food and Nutrition","C","ERA",1.066
"5675","Ecology of Freshwater Fish","B","ERA",1.95
"5676","Econ Journal Watch","C","ERA",0.441
"5677","Econometric Reviews","A","ERA",0.933
"5678","Econometric Reviews","A","ERA",0.933
"5679","Econometric Theory","A+","ERA",1.17
"5680","Econometric Theory","A+","ERA",1.17
"5681","Econometrica: journal of the Econometric Society","A+","ERA",NA
"5682","Econometrics Journal","A","ERA",2.139
"5683","Econometrics Journal","A","ERA",2.139
"5684","Economia","C","ERA",NA
"5685","Economia (Lisbon, 1977)","C","ERA",NA
"5686","Economia e Politica Industriale","C","ERA",NA
"5687","Economia e Sociologia","C","ERA",NA
"5688","Economia ed Ambiente","C","ERA",NA
"5689","Economia em Revista","C","ERA",NA
"5690","Economic Affairs: the journal of the IEA","C","ERA",NA
"5691","Economic Analysis and Policy","C","ERA",1.973
"5692","Economic and Business Review","C","ERA",NA
"5693","Economic and Financial Review","C","ERA",NA
"5694","Economic and Industrial Democracy: an international journal","B","ERA",NA
"5695","Economic and Labour Market Review","C","ERA",NA
"5696","Economic and Political Weekly: a journal of current economic and political affairs","B","ERA",NA
"5697","Economic and Social Review","B","ERA",0.705
"5698","Economic Botany: devoted to applied botany and plant utilization","C","ERA",NA
"5699","Economic Bulletin","C","ERA",NA
"5700","Economic Change and Restructuring: an international journal devoted to the study of comparative
economics, planning and development","B","ERA",NA
"5701","Economic Development and Cultural Change","A","ERA",1.816
"5702","Economic Development Quarterly: the journal of American economic revitalization","B","ERA",NA
"5703","Economic Geography","A","ERA",8.279
"5704","Economic Geology and the Bulletin of the Society of Economic Geologists","A","ERA",NA
"5705","Economic History Review: a journal of economic and social history","A+","ERA",NA
"5706","Economic Inquiry","A","ERA",1.183
"5707","Economic Issues","B","ERA",NA
"5708","Economic Modelling","A","ERA",1.93
"5709","Economic Notes","B","ERA",NA
"5710","Economic Outlook","C","ERA",NA
"5711","Economic Papers of the Economic Society of Australia","B","ERA",NA
"5712","Economic Policy: a European forum","A","ERA",NA
"5713","Economic Sciences","C","ERA",NA
"5714","Economic Systems","B","ERA",1.578
"5715","Economic Systems Research","C","ERA",2.273
"5716","Economic Theory","A+","ERA",1.051
"5717","Economica","A","ERA",1.478
"5718","Economics and Human Biology","B","ERA",1.876
"5719","Economics and Human Biology","B","ERA",1.876
"5720","Economics and Philosophy","A","ERA",0.941
"5721","Economics and Politics","B","ERA",1.828
"5722","Economics Bulletin","C","ERA",NA
"5723","Economics Letters","A","ERA",1.745
"5724","Economics of Education Review","A","ERA",1.354
"5725","Economics of Governance","B","ERA",0.71
"5726","Economics of Innovation and New Technology","B","ERA",1.563
"5727","Economics, Management, and Financial Markets","C","ERA",NA
"5728","Economies et Societes","C","ERA",NA
"5729","Economy and Society","A","ERA",1.208
"5730","Ecopolitics Online Journal","C","ERA",NA
"5731","Ecoscience","B","ERA",1.25
"5732","Ecosystems","B","ERA",4.207
"5733","Ecotoxicology","C","ERA",2.535
"5734","Ecotoxicology and Environmental Safety","B","ERA",4.872
"5735","Ecquid Novi: African journalism studies","B","ERA",NA
"5736","Ecumenical Review","B","ERA",NA
"5737","Edad Media","C","ERA",NA
"5738","Edaphologia","C","ERA",NA
"5739","Edinburgh Journal of Botany","C","ERA",NA
"5740","Edinburgh Law Review: an international forum for the discussion of law","B","ERA",NA
"5741","Educacao e Filosofia","C","ERA",NA
"5742","Education 3-13: the professional journal for primary education","C","ERA",NA
"5743","Education and Culture (West Lafayette)","C","ERA",NA
"5744","Education and Health: a quarterly journal","C","ERA",NA
"5745","Education and Information Technologies","C","ERA",NA
"5746","Education and Law Journal","C","ERA",NA
"5747","Education and Society","B","ERA",NA
"5748","Education and the Law","C","ERA",NA
"5749","Education and Training","A+","ERA",1.791
"5750","Education and Training in Developmental Disabilities","C","ERA",NA
"5751","Education and Treatment of Children","C","ERA",0.692
"5752","Education and Urban Society: an independent quarterly journal of social research","C","ERA",NA
